Title,Display Title,File Name,Description,Modified On,Copyright Notes,Additional Notes,Year Published,Reviewed On,Active,Duplicatable,Filesize,Collection Type,Author,Rights Holder,Rights Statement,Library User,Education Level,Subject,Subcategory,Keywords,Resource Type,Format,Language
Non-Small Cell Lung Cancer - Early and Locally Advanced 2026,Non-Small Cell Lung Cancer - Early and Locally Advanced ,Non-Small Cell Lung Cancer - Early and Locally Advanced 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Non-small cell lung cancer, including early and locally advanced stages. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,2908577,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Healthcare Professional | Community,Adult Education | Adult | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Lung Cancer | Early Stage | Non-small Cell | Oncology | Guidelines | Clinical Guidelines | Treatment | management | Patient Education | Cancer Testing | Cancer Treatment | Healthcare | Education | cancer diagnosis ,Educational Fact Sheet,PDF,English
Non-Small Cell Lung Cancer - Metastatic 2026,Non-Small Cell Lung Cancer - Metastatic,Non-Small Cell Lung Cancer - Metastatic 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on metastatic non-small cell lung cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,908876,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Lung Cancer | Cancer Testing | Cancer Treatment | Healthcare | Patient Care | Health education | Patient Education | Lung | Metastatic | Non-small Cell | Guidelines | Clinical Guidelines | Treatment | management,Educational Fact Sheet,PDF,English
Ovarian Cancer 2025,Ovarian Cancer,Ovarian Cancer 2025.pdf,"This patient guideline offers a detailed overview of ovarian cancer, including types, diagnosis, staging, treatment options (surgery, chemotherapy, targeted therapy), and survivorship. It also addresses less common ovarian cancers, biomarker testing, maintenance therapy, and supportive resources to help patients make informed treatment decisions. ",,,,2025,,True,False,5901631,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Health Educator | Health Educators | Healthcare Professional | Community Member,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Ovarian Cancer | Ovarian | Cancer Testing | Cancer Treatment | Education | Patient Education | Healthcare | management | Treatment | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Pancreatic Cancer 2026,Pancreatic Cancer,Pancreatic Cancer 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Pancreatic Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3037500,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Community Health Educator | Healthcare Professional,Adult Education | Community Training  | Undergraduate | Graduate/Professional | Adult,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Cancer Testing | Cancer Treatment | Healthcare | Patient Education | Education | Treatment | management | Pancreatic Cancer | Pancreas | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Peripheral T-Cell Lymphoma,Peripheral T-Cell Lymphoma,Peripheral T-Cell Lymphoma 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Peripheral T-Cell Lymphoma. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,1463031,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Patient  | Student | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator | Adults,Adult | Adult Education | Community Training  | Graduate/Professional | Undergraduate,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Lymphoma | T-Cell | Cancer Testing | Cancer Treatment | Healthcare | Education | Patient Education | cancer diagnosis  | Guidelines | Clinical Guidelines | Treatment | management | Diagnosis  ,Educational Fact Sheet,PDF,English
Pleural Mesothelioma 2026,Pleural Mesothelioma,Pleural Mesothelioma 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on pleural mesothelioma. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,1635682,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Health | Cancer Testing | Cancer Treatment | cancer diagnosis  | Mesothelioma | Pleura | Healthcare | Patient Education | Education | Clinical Guidelines | Guidelines | management | Diagnosis   | Treatment,Educational Fact Sheet,PDF,English
Primary Central Nervous System Lymphoma 2026,Primary Central Nervous System Lymphoma,Primary Central Nervous System Lymphoma 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on primary central nervous system lymphoma. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3905767,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Patient  | Student | Community | Community Member | Healthcare Professional | Health Educators | Community Health Educator,Adult Education | Adult | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Lymphoma | Health | Cancer Testing | Cancer Treatment | Education | Patient Education | management | Treatment | Guidelines | Clinical Guidelines | Patient Care | cancer diagnosis ,Educational Fact Sheet,PDF,English
Prostate Cancer - Advanced Stage 2026,Prostate Cancer - Advanced Stage,Prostate Cancer - Advanced Stage 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline for Advanced-Stage Prostate Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3092165,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Health Educators | Healthcare Professional | Community Health Educator | Community,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Prostate Cancer | Prostate | Cancer Testing | Cancer Treatment | cancer diagnosis  | Education | Patient Education | Guidelines | Clinical Guidelines | Patient Care | Treatment | management,Educational Fact Sheet,PDF,English
Prostate Cancer - Early Stage 2026,Prostate Cancer - Early Stage,Prostate Cancer - Early Stage 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on early-stage prostate cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3415090,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Patient  | Student | Community | Community Member | Community Health Educator | Healthcare Professional | Health Educators,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Prostate | Prostate Cancer | Cancer Testing | Cancer Treatment | cancer diagnosis  | Treatment | management | Patient Education | Patient Care | Oncology | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Rectal Cancer 2026,Rectal Cancer,Rectal Cancer 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Rectal Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,2666736,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Graduate/Professional | Undergraduate | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Rectal Cancer | Rectal | Oncology | Cancer Testing | Cancer Treatment | cancer diagnosis  | Guidelines | Clinical Guidelines | Patient Care | Patient Education | Education | Treatment | management,Educational Fact Sheet,PDF,English
Small Bowel Adenocarcinoma 2026,Small Bowel Adenocarcinoma,Small Bowel Adenocarcinoma 2026.pdf,"This patient guideline provides comprehensive information for patients diagnosed with small bowel adenocarcinoma, a rare gastrointestinal cancer. It covers diagnosis, treatment options, surgical procedures, biomarkers, chemotherapy regimens, survivorship care, and guidance for making treatment decisions. ",,,,2026,,True,False,1252861,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Cancer Testing | Cancer Treatment | cancer diagnosis  | Patient Education | Patient Care | Small Bowel | Adenocarcinoma | Guidelines | Clinical Guidelines | Treatment | management,Educational Fact Sheet,PDF,English
Soft Tissue Sarcoma 2025,Soft Tissue Sarcoma,Soft Tissue Sarcoma 2025.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on soft tissue sarcoma. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2025,,True,False,2394433,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Community Health Educator | Health Educators | Healthcare Professional,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Soft Tissue | Sarcoma | Clinical guideline | Guidelines | Cancer Testing | Cancer Treatment | cancer diagnosis  | Treatment | management | Patient Education | Healthcare | Education,Educational Fact Sheet,PDF,English
Stomach Cancer 2026,Stomach Cancer ,Stomach Cancer 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Stomach Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,1875769,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community | Health Educators | Community Health Educator | Healthcare Professional,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Cancer Treatment | Cancer Testing | Education | Patient Education | Healthcare | Treatment | management | Stomach Cancer | Stomach | Patient Care | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Throat Cancer 2025,Throat Cancer,Throat Cancer 2025.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Throat Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2025,,True,False,2626082,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Community Health Educator | Healthcare Professional,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Oncology | Cancer  | throat | throat cancer | Clinical Guidelines | Guidelines | Patient Education | Patient Care | Cancer Testing | Cancer Treatment | cancer diagnosis  | management | Treatment,Educational Fact Sheet,PDF,English
Uterine Cancer 2026,Uterine Cancer ,Uterine Cancer 2026.pdf,"National Comprehensive Cancer Network (NCCN) patient guideline on Uterine Cancer. This guideline provides education on cancer physiology, testing, diagnosis, stages, and treatment options. ",,,,2026,,True,False,3532423,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Health Educator | Health Educators | Healthcare Professional | Community Member,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Cancer Testing | Cancer Treatment | Oncology | Patient Education | Patient Care | Guidelines | Clinical Guidelines | Healthcare | Uterine | Uterine Cancer | Treatment | management | cancer diagnosis ,Educational Fact Sheet,PDF,English
"Genetic Testing for Hereditary Breast, Ovarian, Pancreatic, and Prostate Cancer 2026","Genetic Testing for Hereditary Breast, Ovarian, Pancreatic, and Prostate Cancer","Genetic Testing for Hereditary Breast, Ovarian, Pancreatic, and Prostate Cancers 2026.pdf","This guide explains how genetic testing can help identify inherited cancer risks for breast, ovarian, pancreatic, and prostate cancers. It includes information on when to test, what the results mean, how to manage cancer risk, and how to involve family members in preventive care and decision making. ",,,,2026,,True,False,1182804,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Genetics | Genetic Testing | Clinical guideline | Guidelines | Genetic Risk Factors | Genetic Resources | Cancer  | Oncology | Patient Education | Hereditary | Breast | Breast Cancer | Ovarian | Ovarian Cancer | Prostate | Prostate Cancer,Educational Fact Sheet,PDF,English
Lung Cancer Screening 2026,Lung Cancer Screening,Lung Cancer Screening 2026.pdf,"This patient guideline explains lung cancer screening, especially for individuals at high risk due to smoking history or other factors. It details the use of low-dose computed tomography (LDCT) scans to detect early-stage lung cancer. It offers guidance on eligibility, risks, benefits, and next steps based on screening results. ",,,,2026,,True,False,1909020,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community | Health Educators | Community Health Educator | Healthcare Professional,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | cancer screening | Lung Cancer | Lung | Screening | Patient Education | Clinical education | Healthcare | Guidelines | Clinical Guidelines | Patient Care,Educational Fact Sheet,PDF,English
Prostate Cancer Screening 2026,Prostate Cancer Screening,Prostate Cancer Screening 2026.pdf,"This patient guideline explains prostate cancer screening, who needs to be screened for prostate cancer, what to expect at a prostate cancer screening, and further testing or evaluation. It offers guidance on eligibility, risks, benefits, and next steps based on screening results. ",,,,2026,,True,False,1225976,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Community Health Educator | Health Educators | Healthcare Professional,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | cancer screening | Screening | Prostate | Prostate Cancer | Patient Education | Clinical Guidelines | Guidelines | Treatment | Cancer Testing | Cancer Treatment,Educational Fact Sheet,PDF,English
Distress During Cancer Care 2026,Distress During Cancer Care,Distress During Cancer Care 2026.pdf,"This patient guideline explains the emotional, psychological, and spiritual distress commonly experienced during cancer care and provides strategies to manage it. It includes screening tools, care team roles, treatment options, and guidance on accessing mental health and supportive services. ",,,,2026,,True,False,2310678,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Distress | Cancer Testing | cancer screening | cancer diagnosis  | Cancer Treatment | Mental Health | Patient Education | Guidelines | Clinical Guidelines | Treatment | Signs of Distress,Educational Fact Sheet,PDF,English
Graft-Versus-Host Disease 2026,Graft-Versus-Host Disease,Graft-Versus-Host Disease 2026.pdf,"This patient guideline explains graft-versus-host disease (GVHD), a serious complication following hematopoietic cell transplantation (HCT), in which donor immune cells attack the recipient's body. It details testing, treatment options, including immunosuppressants and targeted therapy, and clinical trials for both acute and chronic forms, and provides strategies for symptom management and survivorship care. ",,,,2026,,True,False,1352636,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Community Health Educator | Healthcare Professional,Adult Education | Adult | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Health | Healthcare | Cancer Treatment | cancer screening | Guidelines | Clinical Guidelines | Patient Education | Graft | Host | Disease | GVHD | Patient Care,Educational Fact Sheet,PDF,English
Immunotherapy Side Effects- CAR T-Cell and Lymphocyte Engager Therapies 2026,Immunotherapy Side Effects- CAR T-Cell and Lymphocyte Engager Therapies ,Immunotherapy Side Effects- CAR T-Cell and Lymphocyte Engager Therapies 2026.pdf,"This patient guideline explains how CAR T-cell therapy works to treat blood cancers and outlines its potential side effects, such as cytokine release syndrome (CRS) and neurotoxicity (ICANS). It offers clear guidance on what to expect before, during, and after treatment, and provides information on prevention, monitoring, and treatment of both mild and severe reactions. ",,,,2026,,True,False,1847930,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | CAR T-cell | Immunotherapy | Side Effects | Blood Cancer  | Cancer Treatment | cancer diagnosis  | Guidelines | Clinical Guidelines | Patient Education | Patient Care,Educational Fact Sheet,PDF,English
Low Blood Cell Counts 2026,Low Blood Cell Counts,Low Blood Cell Counts 2026.pdf,"This patient guideline explains how anemia, neutropenia, and thrombocytopenia can affect people undergoing cancer treatment, including symptoms, causes, and management strategies. It details how low red cell, white cell, or platelet counts impact health and outlines diagnostic testing and treatment options like blood transfusions, growth factors, iron supplements, and supportive care. ",,,,2026,,True,False,911272,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community | Community Member | Health Educators | Community Health Educator | Healthcare Professional,Adult | Adult Education | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Oncology | Cancer  | Anemia | Side Effects | Thrombocytopenia | Neutropenia | Blood   | platelets | White Blood Cells | Red Blood Cells | Blood Counts | Blood Transfusion | Cancer Treatment | Patient Education | Clinical Guidelines | Guidelines,Educational Fact Sheet,PDF,English
Nausea and Vomiting 2026,Nausea and Vomiting ,Nausea and Vomiting 2026.pdf,"This patient guideline explains how to prevent and manage nausea and vomiting caused by cancer treatment, including chemotherapy, radiation, and other factors. It covers antiemetic medications, lifestyle tips, and complementary therapies, while also guiding patients on how to track symptoms, communicate with care teams, and maintain hydration and nutrition. ",,,,2026,,True,False,2178071,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Patient  | Student | Community | Community Member | Health Educators | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Side Effects | Healthcare | Cancer Treatment | Nausea | Vomiting | Medications | Chemotherapy | radiation | Patient Education | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Immunotherapy Side Effects - Immune Checkpoint Inhibitors 2026,Immunotherapy Side Effects - Immune Checkpoint Inhibitors,Immunotherapy Side Effects - Immune Checkpoint Inhibitors 2026.pdf,"This patient guideline helps patients understand the possible side effects of immune checkpoint inhibitors, a type of immunotherapy used to treat cancer. It outlines common and serious side effects affecting various body systems and guides symptom recognition, emergency care, and management strategies to support continued treatment and quality of life. ",,,,2026,,True,False,1789367,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Health Educators | Community | Healthcare Professional | Community Health Educator,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Oncology | Cancer Treatment | Side Effects | Immunotherapy | Patient Care | Patient Education | Immune | Guidelines | Clinical Guidelines | Health | Treatment | management,Educational Fact Sheet,PDF,English
Mathematics Textbook (10),Pirtûka Matematîkê (10),كردي 10.pdf,Ev pirtûk a beşa matematîkê ye,,,,,,True,False,8134049,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 10, Dîrok,,peyrew  | hevkêşe   | Hejmarên girêkî  (komplêks) |  Bernametiya xêzî | Geometriya  kordînatê  | Hesabê sêgoşeyan | Tîrêj,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Sociology Book for Grade 10,pirtûka civaknasî (10),علم الاجتماع الصف العاشر.pdf,Ev pirtûk a beşa civaknasiyê ye,,,,,,True,False,11509191,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 10 | refa 10,Civaknasî ,,Civaknasî û derketina wê | Hêmanên bingehîn ên civakê |  Têkiliya civaknasiyê bi zanistên din re |  Çand û civak,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
History Book (10),Pirtûka Dîrokê (10),dîrok 10.pdf,Ev pirtûk a beşa dîrokê ye,,,,,,True,False,10303675,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 10 | Grade 10, Dîrok,,Derbasgeha Dîroknasiyê | Serdemên Pêşnivîsê | Şaristaniyên Mezopotamya  û Geliyê Nîlê yên paşnivîsê | Padîşahî û Şaristaniyên Cizîr  û Welatê Şamê |  Şûnwar û Nîşane,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Geography Textbook (10),pirtûka erdnîgariyê (10),erdnîgariyê 10.pdf,Ev pirtûk a beşa erdnîgariyê ye,,,,,,True,False,16528061,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 10 | Grade 10,Erdnîgarî,ERDNÎGARIYA XWEZAYÎ,Gerdûn | Tevgerên tiktonî | Rûberên avê | Avhewa | Gerdûn û Pergala Rokê | Erd di Pergala Rokê de | Kordînatên erdnîgarî | Teşeyên guhertina rûerdê | Tewandin û şikestin | Volkan | Erdhej | Ava diherike | Qeşa,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
"Mathematics textbook for the tenth grade of secondary school, national curriculum",كتاب الرياضيات للصف العاشر الثانوي المنهاج الوطني,10-Geometry.pdf,الكتاب المدرسي لمادة الرياضيات للصف العاشر الثانوي المنهاج الوطني,,,,2026,,True,False,51897941,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,الرياضيات الهندسة,,التحويلات الهندسية في المستوى | الهندسة الفراغية | الأشعة والهندسة التحليلية | معادلة مستقيم وجمل المعادلات الخطية | القطوع المخروطية,كتاب,PDF,العربية
Physics Book 10th,Pirtûka Fîzîkê (10),Fîzîk 10.pdf,Ev pirtûk a beşa fîzîkê ye,,,,2026,,True,False,7020195,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 10 | refa 10,Fîzîk,,tevger û tevgerandin |  Elektirîk |  tevgera pêlî  |  şewq  | qaseyên fîzîkî  | Elektirîka rawestiyayî | şkestina şewqê,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Chemistry Book 10th,Pirtûka Kîmyayê (10),Kîmya 10.pdf,Ev pirtûk a beşa kîmyayê ye,,,,,,True,False,51026462,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 10 | Grade 10,Kîmya,,Atom | Tabloya peryodîkê | Pişaftî | Kîmyaya Lebatî  | Tîrbûna pişaftiyan | Hîdrokarbon | Alkan,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
"Geography textbook for the first year of secondary school, national curriculum",كتاب الجغرافيا للصف الأول الثانوي المنهاج الوطني,10-geography_compressed.pdf,الكتاب المدرسي للصف الأول الثانوي,,,,2026,,True,False,45935419,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,,الصف 10,الجغرافيا,,تطور علم الجغرافيا | منهجية البحث العلمي في الجغرافية | الخرائطُ الجغرافيّةُ واستخداماتها | المجموعة الشمسية | القمر تابع للأرض | الزلازل والبراكين | الالتواءات والانكسارات | المناخ    | الحرارة  ,كتاب,PDF,العربية
"Biology textbook for the first year of secondary school, national curriculum",كتاب علم الاحياء للصف الأول الثانوي المنهاج الوطني,10-lit-scince.pdf,الكتاب المدرسي لمادة علم الاحياء الصف الأول الثانوي المنهاج الوطني,,,,2026,,True,False,50767854,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,العلوم علم الأحياء,,المادة الحية | الخلية | الإطراح عند النبات | النّقل لدى النّبات | الصِّحّة والمرض | اللُّقاحات | حياتي غالية | التّنوّع الحيويّ | التّنوّع الحيويّ في سورية | تربية الحيوان | التّوازن البيئيّ, كتاب,PDF,العربية
"Mathematics textbook, Algebra section, for the first year of secondary school",كتاب الرياضيات قسم الجبر للصف الأول الثانوي,10-Algebra.pdf,الكتاب المدرسي لمادة الرياضيات الصف الأول الثانوي المنهاج الوطني,,,,2026,,True,False,47097304,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,رياضيات جبر,,الأعداد الحقيقية وخواضها | مفهوم التابع | المعادلات والمتراجحات من الدرجة الثانية | التوابع المألوفة | مبادئ في الاحتمالات,كتاب,PDF, العربية
